Serial setup.
Timer 1 setup for 25 kHz PWM.
Tachometer setup.
Timer 1 setup for control loop.
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 4
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 4
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 4
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 4
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 4
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 4
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 4
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 4
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 5
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 4
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 4
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 17,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 4
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 4
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 4
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 17,	 pwm = 5,	 tach = 4
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 4
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 18,	 pwm = 5,	 tach = 4
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 19,	 pwm = 5,	 tach = 3
A1 = 20,	 pwm = 6,	 tach = 4
A1 = 20,	 pwm = 6,	 tach = 3
A1 = 20,	 pwm = 6,	 tach = 3
A1 = 21,	 pwm = 6,	 tach = 3
A1 = 22,	 pwm = 6,	 tach = 4
A1 = 22,	 pwm = 6,	 tach = 4
A1 = 22,	 pwm = 6,	 tach = 3
A1 = 22,	 pwm = 6,	 tach = 3
A1 = 22,	 pwm = 6,	 tach = 3
A1 = 22,	 pwm = 6,	 tach = 3
A1 = 22,	 pwm = 6,	 tach = 4
A1 = 22,	 pwm = 6,	 tach = 3
A1 = 22,	 pwm = 6,	 tach = 4
A1 = 23,	 pwm = 7,	 tach = 3
A1 = 23,	 pwm = 7,	 tach = 3
A1 = 24,	 pwm = 7,	 tach = 4
A1 = 24,	 pwm = 7,	 tach = 3
A1 = 24,	 pwm = 7,	 tach = 3
A1 = 24,	 pwm = 7,	 tach = 3
A1 = 23,	 pwm = 7,	 tach = 4
A1 = 24,	 pwm = 7,	 tach = 3
A1 = 25,	 pwm = 7,	 tach = 3
A1 = 24,	 pwm = 7,	 tach = 3
A1 = 24,	 pwm = 7,	 tach = 4
A1 = 24,	 pwm = 7,	 tach = 4
A1 = 23,	 pwm = 7,	 tach = 3
A1 = 24,	 pwm = 7,	 tach = 3
A1 = 24,	 pwm = 7,	 tach = 4
A1 = 25,	 pwm = 7,	 tach = 3
A1 = 29,	 pwm = 9,	 tach = 4
A1 = 32,	 pwm = 10,	 tach = 3
A1 = 33,	 pwm = 10,	 tach = 4
A1 = 33,	 pwm = 10,	 tach = 4
A1 = 33,	 pwm = 10,	 tach = 3
A1 = 37,	 pwm = 11,	 tach = 4
A1 = 39,	 pwm = 12,	 tach = 3
A1 = 40,	 pwm = 12,	 tach = 3
A1 = 40,	 pwm = 12,	 tach = 5
A1 = 42,	 pwm = 13,	 tach = 3
A1 = 46,	 pwm = 14,	 tach = 5
A1 = 48,	 pwm = 15,	 tach = 3
A1 = 49,	 pwm = 15,	 tach = 4
A1 = 49,	 pwm = 15,	 tach = 3
A1 = 49,	 pwm = 15,	 tach = 4
A1 = 50,	 pwm = 15,	 tach = 3
A1 = 55,	 pwm = 17,	 tach = 4
A1 = 57,	 pwm = 17,	 tach = 3
A1 = 57,	 pwm = 17,	 tach = 4
A1 = 57,	 pwm = 17,	 tach = 4
A1 = 57,	 pwm = 17,	 tach = 3
A1 = 56,	 pwm = 17,	 tach = 4
A1 = 61,	 pwm = 19,	 tach = 4
A1 = 62,	 pwm = 19,	 tach = 3
A1 = 62,	 pwm = 19,	 tach = 4
A1 = 62,	 pwm = 19,	 tach = 4
A1 = 62,	 pwm = 19,	 tach = 3
A1 = 62,	 pwm = 19,	 tach = 4
A1 = 63,	 pwm = 19,	 tach = 4
A1 = 63,	 pwm = 19,	 tach = 4
A1 = 63,	 pwm = 19,	 tach = 3
A1 = 63,	 pwm = 19,	 tach = 4
A1 = 63,	 pwm = 19,	 tach = 4
A1 = 62,	 pwm = 19,	 tach = 4
A1 = 62,	 pwm = 19,	 tach = 3
A1 = 63,	 pwm = 19,	 tach = 4
A1 = 63,	 pwm = 19,	 tach = 4
A1 = 63,	 pwm = 19,	 tach = 4
A1 = 63,	 pwm = 19,	 tach = 3
A1 = 63,	 pwm = 19,	 tach = 4
A1 = 62,	 pwm = 19,	 tach = 4
A1 = 62,	 pwm = 19,	 tach = 4
A1 = 62,	 pwm = 19,	 tach = 3
