Serial setup.
Timer 1 setup for 25 kHz PWM.
Tachometer setup.
Timer 1 setup for control loop.
Fan OFF.
Fan ON.
Fan OFF.
Fan ON.
A1 = 269,	 pwm = 84,	 tach = 242
A1 = 270,	 pwm = 84,	 tach = 6
A1 = 270,	 pwm = 84,	 tach = 6
A1 = 271,	 pwm = 84,	 tach = 6
A1 = 271,	 pwm = 84,	 tach = 6
A1 = 271,	 pwm = 84,	 tach = 6
A1 = 272,	 pwm = 85,	 tach = 6
A1 = 273,	 pwm = 85,	 tach = 6
A1 = 274,	 pwm = 85,	 tach = 6
A1 = 275,	 pwm = 85,	 tach = 6
A1 = 275,	 pwm = 85,	 tach = 7
A1 = 275,	 pwm = 85,	 tach = 6
A1 = 276,	 pwm = 86,	 tach = 6
A1 = 278,	 pwm = 86,	 tach = 6
A1 = 279,	 pwm = 87,	 tach = 6
A1 = 279,	 pwm = 87,	 tach = 6
A1 = 279,	 pwm = 87,	 tach = 6
A1 = 279,	 pwm = 87,	 tach = 7
A1 = 280,	 pwm = 87,	 tach = 6
A1 = 280,	 pwm = 87,	 tach = 6
A1 = 281,	 pwm = 87,	 tach = 6
A1 = 280,	 pwm = 87,	 tach = 6
A1 = 280,	 pwm = 87,	 tach = 7
A1 = 283,	 pwm = 88,	 tach = 6
A1 = 289,	 pwm = 90,	 tach = 6
A1 = 296,	 pwm = 92,	 tach = 6
A1 = 296,	 pwm = 92,	 tach = 6
A1 = 296,	 pwm = 92,	 tach = 7
A1 = 296,	 pwm = 92,	 tach = 6
A1 = 300,	 pwm = 93,	 tach = 6
A1 = 302,	 pwm = 94,	 tach = 7
A1 = 302,	 pwm = 94,	 tach = 6
A1 = 302,	 pwm = 94,	 tach = 8
A1 = 302,	 pwm = 94,	 tach = 6
A1 = 303,	 pwm = 94,	 tach = 7
A1 = 302,	 pwm = 94,	 tach = 6
A1 = 303,	 pwm = 94,	 tach = 7
A1 = 302,	 pwm = 94,	 tach = 6
A1 = 302,	 pwm = 94,	 tach = 6
A1 = 302,	 pwm = 94,	 tach = 7
A1 = 302,	 pwm = 94,	 tach = 6
A1 = 303,	 pwm = 94,	 tach = 7
A1 = 304,	 pwm = 95,	 tach = 6
A1 = 309,	 pwm = 96,	 tach = 7
A1 = 313,	 pwm = 97,	 tach = 6
A1 = 321,	 pwm = 100,	 tach = 7
A1 = 327,	 pwm = 102,	 tach = 6
A1 = 331,	 pwm = 103,	 tach = 7
A1 = 331,	 pwm = 103,	 tach = 7
A1 = 330,	 pwm = 103,	 tach = 6
A1 = 331,	 pwm = 103,	 tach = 7
A1 = 334,	 pwm = 104,	 tach = 7
A1 = 339,	 pwm = 105,	 tach = 7
A1 = 342,	 pwm = 106,	 tach = 6
A1 = 346,	 pwm = 108,	 tach = 7
A1 = 349,	 pwm = 109,	 tach = 7
A1 = 353,	 pwm = 110,	 tach = 7
A1 = 364,	 pwm = 113,	 tach = 7
A1 = 364,	 pwm = 113,	 tach = 7
A1 = 364,	 pwm = 113,	 tach = 7
A1 = 364,	 pwm = 113,	 tach = 7
A1 = 367,	 pwm = 114,	 tach = 7
A1 = 376,	 pwm = 117,	 tach = 8
A1 = 380,	 pwm = 118,	 tach = 7
A1 = 383,	 pwm = 119,	 tach = 8
A1 = 383,	 pwm = 119,	 tach = 7
A1 = 383,	 pwm = 119,	 tach = 8
A1 = 384,	 pwm = 120,	 tach = 7
A1 = 395,	 pwm = 123,	 tach = 7
A1 = 409,	 pwm = 127,	 tach = 8
A1 = 414,	 pwm = 129,	 tach = 7
A1 = 414,	 pwm = 129,	 tach = 8
A1 = 414,	 pwm = 129,	 tach = 8
A1 = 416,	 pwm = 130,	 tach = 7
A1 = 423,	 pwm = 132,	 tach = 8
A1 = 439,	 pwm = 137,	 tach = 8
A1 = 443,	 pwm = 138,	 tach = 8
A1 = 443,	 pwm = 138,	 tach = 8
A1 = 442,	 pwm = 138,	 tach = 8
A1 = 447,	 pwm = 139,	 tach = 8
A1 = 462,	 pwm = 144,	 tach = 9
A1 = 468,	 pwm = 146,	 tach = 8
A1 = 469,	 pwm = 146,	 tach = 8
A1 = 470,	 pwm = 146,	 tach = 8
A1 = 470,	 pwm = 146,	 tach = 9
A1 = 470,	 pwm = 146,	 tach = 8
A1 = 470,	 pwm = 146,	 tach = 8
A1 = 470,	 pwm = 146,	 tach = 9
A1 = 470,	 pwm = 146,	 tach = 9
A1 = 475,	 pwm = 148,	 tach = 9
A1 = 481,	 pwm = 150,	 tach = 8
A1 = 498,	 pwm = 155,	 tach = 10
A1 = 499,	 pwm = 155,	 tach = 8
A1 = 500,	 pwm = 156,	 tach = 9
A1 = 501,	 pwm = 156,	 tach = 8
A1 = 500,	 pwm = 156,	 tach = 9
A1 = 504,	 pwm = 157,	 tach = 9
A1 = 507,	 pwm = 158,	 tach = 9
A1 = 508,	 pwm = 158,	 tach = 8
A1 = 508,	 pwm = 158,	 tach = 10
A1 = 510,	 pwm = 159,	 tach = 9
A1 = 513,	 pwm = 160,	 tach = 9
A1 = 515,	 pwm = 160,	 tach = 9
A1 = 515,	 pwm = 160,	 tach = 9
A1 = 515,	 pwm = 160,	 tach = 9
A1 = 515,	 pwm = 160,	 tach = 8
A1 = 515,	 pwm = 160,	 tach = 9
A1 = 516,	 pwm = 161,	 tach = 9
A1 = 517,	 pwm = 161,	 tach = 9
A1 = 521,	 pwm = 162,	 tach = 9
A1 = 524,	 pwm = 163,	 tach = 9
A1 = 527,	 pwm = 164,	 tach = 9
A1 = 529,	 pwm = 165,	 tach = 9
A1 = 529,	 pwm = 165,	 tach = 9
A1 = 530,	 pwm = 165,	 tach = 9
A1 = 529,	 pwm = 165,	 tach = 9
A1 = 529,	 pwm = 165,	 tach = 10
A1 = 530,	 pwm = 165,	 tach = 9
A1 = 529,	 pwm = 165,	 tach = 9
A1 = 529,	 pwm = 165,	 tach = 9
A1 = 529,	 pwm = 165,	 tach = 9
A1 = 529,	 pwm = 165,	 tach = 9
A1 = 530,	 pwm = 165,	 tach = 9
A1 = 529,	 pwm = 165,	 tach = 9
A1 = 530,	 pwm = 165,	 tach = 9
A1 = 529,	 pwm = 165,	 tach = 9
A1 = 530,	 pwm = 165,	 tach = 10
A1 = 530,	 pwm = 165,	 tach = 9
A1 = 530,	 pwm = 165,	 tach = 10
A1 = 530,	 pwm = 165,	 tach = 10
A1 = 530,	 pwm = 165,	 tach = 9
A1 = 530,	 pwm = 165,	 tach = 9
A1 = 529,	 pwm = 165,	 tach = 10
A1 = 529,	 pwm = 165,	 tach = 10
A1 = 530,	 pwm = 165,	 tach = 9
A1 = 530,	 pwm = 165,	 tach = 10
A1 = 530,	 pwm = 165,	 tach = 9
A1 = 530,	 pwm = 165,	 tach = 9
A1 = 530,	 pwm = 165,	 tach = 9
A1 = 530,	 pwm = 165,	 tach = 9
A1 = 529,	 pwm = 165,	 tach = 9
A1 = 530,	 pwm = 165,	 tach = 10
A1 = 529,	 pwm = 165,	 tach = 9
A1 = 529,	 pwm = 165,	 tach = 9
A1 = 530,	 pwm = 165,	 tach = 9
A1 = 536,	 pwm = 167,	 tach = 10
A1 = 541,	 pwm = 169,	 tach = 9
A1 = 550,	 pwm = 171,	 tach = 9
A1 = 554,	 pwm = 173,	 tach = 9
A1 = 557,	 pwm = 174,	 tach = 9
A1 = 557,	 pwm = 174,	 tach = 11
A1 = 558,	 pwm = 174,	 tach = 9
A1 = 556,	 pwm = 173,	 tach = 9
A1 = 557,	 pwm = 174,	 tach = 10
A1 = 561,	 pwm = 175,	 tach = 9
A1 = 569,	 pwm = 177,	 tach = 10
A1 = 578,	 pwm = 180,	 tach = 9
A1 = 579,	 pwm = 180,	 tach = 10
A1 = 581,	 pwm = 181,	 tach = 9
A1 = 582,	 pwm = 181,	 tach = 10
A1 = 583,	 pwm = 182,	 tach = 10
A1 = 583,	 pwm = 182,	 tach = 9
A1 = 584,	 pwm = 182,	 tach = 10
A1 = 584,	 pwm = 182,	 tach = 10
A1 = 584,	 pwm = 182,	 tach = 9
A1 = 587,	 pwm = 183,	 tach = 11
A1 = 591,	 pwm = 184,	 tach = 11
A1 = 596,	 pwm = 186,	 tach = 11
A1 = 600,	 pwm = 187,	 tach = 10
A1 = 605,	 pwm = 189,	 tach = 10
A1 = 608,	 pwm = 190,	 tach = 10
A1 = 609,	 pwm = 190,	 tach = 10
A1 = 610,	 pwm = 190,	 tach = 10
A1 = 611,	 pwm = 190,	 tach = 10
A1 = 611,	 pwm = 190,	 tach = 11
A1 = 611,	 pwm = 190,	 tach = 10
A1 = 612,	 pwm = 191,	 tach = 10
A1 = 611,	 pwm = 190,	 tach = 11
A1 = 611,	 pwm = 190,	 tach = 10
A1 = 611,	 pwm = 190,	 tach = 11
A1 = 612,	 pwm = 191,	 tach = 10
A1 = 616,	 pwm = 192,	 tach = 10
A1 = 622,	 pwm = 194,	 tach = 10
A1 = 635,	 pwm = 198,	 tach = 11
A1 = 635,	 pwm = 198,	 tach = 10
A1 = 635,	 pwm = 198,	 tach = 11
A1 = 635,	 pwm = 198,	 tach = 11
A1 = 642,	 pwm = 200,	 tach = 10
A1 = 651,	 pwm = 203,	 tach = 10
A1 = 657,	 pwm = 205,	 tach = 11
A1 = 657,	 pwm = 205,	 tach = 10
A1 = 657,	 pwm = 205,	 tach = 11
A1 = 657,	 pwm = 205,	 tach = 10
A1 = 657,	 pwm = 205,	 tach = 11
A1 = 669,	 pwm = 209,	 tach = 10
A1 = 682,	 pwm = 213,	 tach = 11
A1 = 682,	 pwm = 213,	 tach = 11
A1 = 682,	 pwm = 213,	 tach = 10
A1 = 684,	 pwm = 213,	 tach = 11
A1 = 696,	 pwm = 217,	 tach = 11
A1 = 701,	 pwm = 219,	 tach = 11
A1 = 702,	 pwm = 219,	 tach = 11
A1 = 702,	 pwm = 219,	 tach = 11
A1 = 705,	 pwm = 220,	 tach = 11
A1 = 717,	 pwm = 224,	 tach = 11
A1 = 724,	 pwm = 226,	 tach = 11
A1 = 724,	 pwm = 226,	 tach = 12
A1 = 724,	 pwm = 226,	 tach = 11
A1 = 727,	 pwm = 227,	 tach = 11
A1 = 740,	 pwm = 231,	 tach = 12
A1 = 746,	 pwm = 233,	 tach = 11
A1 = 746,	 pwm = 233,	 tach = 13
A1 = 747,	 pwm = 233,	 tach = 11
A1 = 748,	 pwm = 233,	 tach = 12
A1 = 761,	 pwm = 237,	 tach = 11
A1 = 770,	 pwm = 240,	 tach = 13
A1 = 769,	 pwm = 240,	 tach = 13
A1 = 770,	 pwm = 240,	 tach = 12
A1 = 769,	 pwm = 240,	 tach = 12
A1 = 772,	 pwm = 241,	 tach = 11
A1 = 782,	 pwm = 244,	 tach = 12
A1 = 786,	 pwm = 245,	 tach = 14
A1 = 787,	 pwm = 245,	 tach = 12
A1 = 792,	 pwm = 247,	 tach = 12
A1 = 792,	 pwm = 247,	 tach = 13
A1 = 792,	 pwm = 247,	 tach = 12
A1 = 793,	 pwm = 247,	 tach = 13
A1 = 797,	 pwm = 249,	 tach = 12
A1 = 810,	 pwm = 253,	 tach = 12
A1 = 817,	 pwm = 255,	 tach = 13
A1 = 819,	 pwm = 255,	 tach = 12
A1 = 819,	 pwm = 255,	 tach = 12
A1 = 821,	 pwm = 256,	 tach = 13
A1 = 820,	 pwm = 256,	 tach = 12
A1 = 821,	 pwm = 256,	 tach = 13
A1 = 819,	 pwm = 255,	 tach = 13
A1 = 821,	 pwm = 256,	 tach = 12
A1 = 821,	 pwm = 256,	 tach = 13
A1 = 821,	 pwm = 256,	 tach = 12
A1 = 820,	 pwm = 256,	 tach = 13
A1 = 820,	 pwm = 256,	 tach = 13
A1 = 820,	 pwm = 256,	 tach = 13
A1 = 821,	 pwm = 256,	 tach = 12
A1 = 821,	 pwm = 256,	 tach = 13
A1 = 821,	 pwm = 256,	 tach = 13
A1 = 821,	 pwm = 256,	 tach = 13
A1 = 821,	 pwm = 256,	 tach = 14
A1 = 818,	 pwm = 255,	 tach = 12
A1 = 812,	 pwm = 253,	 tach = 14
A1 = 809,	 pwm = 252,	 tach = 12
A1 = 808,	 pwm = 252,	 tach = 13
A1 = 808,	 pwm = 252,	 tach = 12
A1 = 807,	 pwm = 252,	 tach = 13
A1 = 798,	 pwm = 249,	 tach = 13
A1 = 786,	 pwm = 245,	 tach = 13
A1 = 787,	 pwm = 245,	 tach = 12
A1 = 787,	 pwm = 245,	 tach = 13
A1 = 778,	 pwm = 243,	 tach = 12
A1 = 772,	 pwm = 241,	 tach = 13
A1 = 772,	 pwm = 241,	 tach = 12
A1 = 772,	 pwm = 241,	 tach = 12
A1 = 758,	 pwm = 236,	 tach = 12
A1 = 758,	 pwm = 236,	 tach = 12
A1 = 758,	 pwm = 236,	 tach = 13
A1 = 751,	 pwm = 234,	 tach = 12
A1 = 741,	 pwm = 231,	 tach = 11
A1 = 741,	 pwm = 231,	 tach = 12
A1 = 740,	 pwm = 231,	 tach = 12
A1 = 723,	 pwm = 225,	 tach = 12
A1 = 723,	 pwm = 225,	 tach = 12
A1 = 723,	 pwm = 225,	 tach = 12
A1 = 712,	 pwm = 222,	 tach = 11
A1 = 707,	 pwm = 220,	 tach = 13
A1 = 707,	 pwm = 220,	 tach = 11
A1 = 694,	 pwm = 216,	 tach = 11
A1 = 686,	 pwm = 214,	 tach = 11
A1 = 688,	 pwm = 215,	 tach = 12
A1 = 684,	 pwm = 213,	 tach = 12
A1 = 672,	 pwm = 210,	 tach = 11
A1 = 672,	 pwm = 210,	 tach = 11
A1 = 672,	 pwm = 210,	 tach = 11
A1 = 655,	 pwm = 204,	 tach = 10
A1 = 652,	 pwm = 203,	 tach = 12
A1 = 652,	 pwm = 203,	 tach = 11
A1 = 648,	 pwm = 202,	 tach = 11
A1 = 632,	 pwm = 197,	 tach = 10
A1 = 632,	 pwm = 197,	 tach = 11
A1 = 632,	 pwm = 197,	 tach = 10
A1 = 623,	 pwm = 194,	 tach = 11
A1 = 613,	 pwm = 191,	 tach = 10
A1 = 613,	 pwm = 191,	 tach = 10
A1 = 611,	 pwm = 190,	 tach = 10
A1 = 595,	 pwm = 185,	 tach = 11
A1 = 595,	 pwm = 185,	 tach = 11
A1 = 595,	 pwm = 185,	 tach = 10
A1 = 582,	 pwm = 181,	 tach = 10
A1 = 583,	 pwm = 182,	 tach = 10
A1 = 583,	 pwm = 182,	 tach = 10
A1 = 567,	 pwm = 177,	 tach = 10
A1 = 563,	 pwm = 175,	 tach = 10
A1 = 563,	 pwm = 175,	 tach = 10
A1 = 557,	 pwm = 174,	 tach = 9
A1 = 548,	 pwm = 171,	 tach = 10
A1 = 547,	 pwm = 170,	 tach = 9
A1 = 548,	 pwm = 171,	 tach = 11
A1 = 534,	 pwm = 166,	 tach = 9
A1 = 530,	 pwm = 165,	 tach = 9
A1 = 530,	 pwm = 165,	 tach = 10
A1 = 521,	 pwm = 162,	 tach = 10
A1 = 514,	 pwm = 160,	 tach = 9
A1 = 515,	 pwm = 160,	 tach = 9
A1 = 506,	 pwm = 158,	 tach = 9
A1 = 494,	 pwm = 154,	 tach = 9
A1 = 494,	 pwm = 154,	 tach = 9
A1 = 490,	 pwm = 153,	 tach = 9
A1 = 478,	 pwm = 149,	 tach = 9
A1 = 477,	 pwm = 149,	 tach = 8
A1 = 477,	 pwm = 149,	 tach = 9
A1 = 470,	 pwm = 146,	 tach = 10
A1 = 470,	 pwm = 146,	 tach = 8
A1 = 470,	 pwm = 146,	 tach = 9
A1 = 470,	 pwm = 146,	 tach = 8
A1 = 470,	 pwm = 146,	 tach = 9
A1 = 471,	 pwm = 147,	 tach = 8
A1 = 470,	 pwm = 146,	 tach = 9
A1 = 470,	 pwm = 146,	 tach = 9
A1 = 470,	 pwm = 146,	 tach = 8
A1 = 470,	 pwm = 146,	 tach = 10
A1 = 471,	 pwm = 147,	 tach = 8
A1 = 471,	 pwm = 147,	 tach = 9
A1 = 470,	 pwm = 146,	 tach = 8
A1 = 470,	 pwm = 146,	 tach = 9
A1 = 470,	 pwm = 146,	 tach = 9
A1 = 470,	 pwm = 146,	 tach = 8
A1 = 470,	 pwm = 146,	 tach = 9
A1 = 471,	 pwm = 147,	 tach = 9
A1 = 471,	 pwm = 147,	 tach = 8
A1 = 471,	 pwm = 147,	 tach = 9
A1 = 470,	 pwm = 146,	 tach = 8
A1 = 470,	 pwm = 146,	 tach = 11
A1 = 470,	 pwm = 146,	 tach = 8
A1 = 470,	 pwm = 146,	 tach = 8
A1 = 470,	 pwm = 146,	 tach = 9
A1 = 470,	 pwm = 146,	 tach = 8
A1 = 470,	 pwm = 146,	 tach = 9
A1 = 470,	 pwm = 146,	 tach = 8
A1 = 470,	 pwm = 146,	 tach = 8
A1 = 470,	 pwm = 146,	 tach = 10
A1 = 470,	 pwm = 146,	 tach = 8
A1 = 471,	 pwm = 147,	 tach = 8
A1 = 471,	 pwm = 147,	 tach = 9
A1 = 471,	 pwm = 147,	 tach = 8
A1 = 471,	 pwm = 147,	 tach = 9
A1 = 470,	 pwm = 146,	 tach = 9
A1 = 471,	 pwm = 147,	 tach = 8
A1 = 470,	 pwm = 146,	 tach = 9
A1 = 470,	 pwm = 146,	 tach = 8
A1 = 470,	 pwm = 146,	 tach = 9
A1 = 453,	 pwm = 141,	 tach = 8
A1 = 452,	 pwm = 141,	 tach = 8
A1 = 452,	 pwm = 141,	 tach = 9
A1 = 439,	 pwm = 137,	 tach = 8
A1 = 437,	 pwm = 136,	 tach = 8
A1 = 438,	 pwm = 136,	 tach = 8
A1 = 425,	 pwm = 132,	 tach = 8
A1 = 420,	 pwm = 131,	 tach = 9
A1 = 419,	 pwm = 130,	 tach = 7
A1 = 408,	 pwm = 127,	 tach = 8
A1 = 398,	 pwm = 124,	 tach = 8
A1 = 397,	 pwm = 124,	 tach = 8
A1 = 390,	 pwm = 121,	 tach = 8
A1 = 384,	 pwm = 120,	 tach = 7
A1 = 383,	 pwm = 119,	 tach = 8
A1 = 376,	 pwm = 117,	 tach = 8
A1 = 361,	 pwm = 112,	 tach = 7
A1 = 362,	 pwm = 113,	 tach = 7
A1 = 361,	 pwm = 112,	 tach = 8
A1 = 353,	 pwm = 110,	 tach = 7
A1 = 344,	 pwm = 107,	 tach = 7
A1 = 345,	 pwm = 107,	 tach = 7
A1 = 345,	 pwm = 107,	 tach = 7
A1 = 334,	 pwm = 104,	 tach = 8
A1 = 327,	 pwm = 102,	 tach = 7
A1 = 327,	 pwm = 102,	 tach = 7
A1 = 328,	 pwm = 102,	 tach = 7
A1 = 314,	 pwm = 98,	 tach = 7
A1 = 313,	 pwm = 97,	 tach = 7
A1 = 313,	 pwm = 97,	 tach = 6
A1 = 313,	 pwm = 97,	 tach = 7
A1 = 312,	 pwm = 97,	 tach = 7
A1 = 309,	 pwm = 96,	 tach = 6
A1 = 304,	 pwm = 95,	 tach = 7
A1 = 301,	 pwm = 94,	 tach = 6
A1 = 301,	 pwm = 94,	 tach = 8
A1 = 301,	 pwm = 94,	 tach = 6
A1 = 301,	 pwm = 94,	 tach = 7
A1 = 295,	 pwm = 92,	 tach = 6
A1 = 288,	 pwm = 90,	 tach = 7
A1 = 283,	 pwm = 88,	 tach = 6
A1 = 283,	 pwm = 88,	 tach = 6
A1 = 282,	 pwm = 88,	 tach = 7
A1 = 282,	 pwm = 88,	 tach = 6
A1 = 278,	 pwm = 86,	 tach = 7
A1 = 276,	 pwm = 86,	 tach = 6
A1 = 273,	 pwm = 85,	 tach = 7
A1 = 270,	 pwm = 84,	 tach = 6
A1 = 268,	 pwm = 83,	 tach = 6
A1 = 266,	 pwm = 83,	 tach = 6
A1 = 266,	 pwm = 83,	 tach = 6
A1 = 266,	 pwm = 83,	 tach = 6
A1 = 266,	 pwm = 83,	 tach = 6
A1 = 266,	 pwm = 83,	 tach = 6
A1 = 258,	 pwm = 80,	 tach = 6
A1 = 251,	 pwm = 78,	 tach = 6
A1 = 248,	 pwm = 77,	 tach = 6
A1 = 245,	 pwm = 76,	 tach = 6
A1 = 245,	 pwm = 76,	 tach = 6
A1 = 245,	 pwm = 76,	 tach = 6
A1 = 245,	 pwm = 76,	 tach = 5
A1 = 241,	 pwm = 75,	 tach = 6
A1 = 238,	 pwm = 74,	 tach = 6
A1 = 235,	 pwm = 73,	 tach = 6
A1 = 232,	 pwm = 72,	 tach = 5
A1 = 232,	 pwm = 72,	 tach = 6
A1 = 230,	 pwm = 71,	 tach = 6
A1 = 230,	 pwm = 71,	 tach = 5
A1 = 230,	 pwm = 71,	 tach = 6
A1 = 229,	 pwm = 71,	 tach = 5
A1 = 229,	 pwm = 71,	 tach = 6
A1 = 228,	 pwm = 71,	 tach = 6
A1 = 225,	 pwm = 70,	 tach = 6
A1 = 221,	 pwm = 69,	 tach = 5
A1 = 216,	 pwm = 67,	 tach = 6
A1 = 216,	 pwm = 67,	 tach = 5
A1 = 216,	 pwm = 67,	 tach = 6
A1 = 216,	 pwm = 67,	 tach = 5
A1 = 212,	 pwm = 66,	 tach = 6
A1 = 210,	 pwm = 65,	 tach = 6
A1 = 208,	 pwm = 65,	 tach = 5
A1 = 208,	 pwm = 65,	 tach = 6
A1 = 208,	 pwm = 65,	 tach = 5
A1 = 208,	 pwm = 65,	 tach = 5
A1 = 207,	 pwm = 64,	 tach = 6
A1 = 206,	 pwm = 64,	 tach = 5
A1 = 206,	 pwm = 64,	 tach = 5
A1 = 206,	 pwm = 64,	 tach = 6
A1 = 206,	 pwm = 64,	 tach = 5
A1 = 206,	 pwm = 64,	 tach = 5
A1 = 206,	 pwm = 64,	 tach = 5
A1 = 212,	 pwm = 66,	 tach = 6
A1 = 223,	 pwm = 69,	 tach = 6
A1 = 223,	 pwm = 69,	 tach = 5
A1 = 223,	 pwm = 69,	 tach = 5
A1 = 223,	 pwm = 69,	 tach = 6
A1 = 237,	 pwm = 74,	 tach = 5
A1 = 254,	 pwm = 79,	 tach = 6
A1 = 254,	 pwm = 79,	 tach = 5
A1 = 254,	 pwm = 79,	 tach = 7
A1 = 263,	 pwm = 82,	 tach = 5
A1 = 276,	 pwm = 86,	 tach = 6
A1 = 276,	 pwm = 86,	 tach = 6
A1 = 279,	 pwm = 87,	 tach = 6
A1 = 308,	 pwm = 96,	 tach = 6
A1 = 308,	 pwm = 96,	 tach = 6
A1 = 308,	 pwm = 96,	 tach = 6
A1 = 308,	 pwm = 96,	 tach = 6
A1 = 322,	 pwm = 100,	 tach = 7
A1 = 337,	 pwm = 105,	 tach = 6
A1 = 336,	 pwm = 105,	 tach = 7
A1 = 336,	 pwm = 105,	 tach = 6
A1 = 345,	 pwm = 107,	 tach = 7
A1 = 367,	 pwm = 114,	 tach = 7
A1 = 368,	 pwm = 115,	 tach = 6
A1 = 368,	 pwm = 115,	 tach = 7
A1 = 374,	 pwm = 116,	 tach = 7
A1 = 400,	 pwm = 125,	 tach = 7
A1 = 400,	 pwm = 125,	 tach = 8
A1 = 400,	 pwm = 125,	 tach = 7
A1 = 401,	 pwm = 125,	 tach = 7
A1 = 403,	 pwm = 125,	 tach = 8
A1 = 418,	 pwm = 130,	 tach = 7
A1 = 433,	 pwm = 135,	 tach = 8
A1 = 433,	 pwm = 135,	 tach = 7
A1 = 436,	 pwm = 136,	 tach = 8
A1 = 464,	 pwm = 145,	 tach = 8
A1 = 466,	 pwm = 145,	 tach = 8
A1 = 467,	 pwm = 145,	 tach = 8
A1 = 467,	 pwm = 145,	 tach = 8
A1 = 483,	 pwm = 150,	 tach = 8
A1 = 500,	 pwm = 156,	 tach = 9
A1 = 500,	 pwm = 156,	 tach = 8
A1 = 499,	 pwm = 155,	 tach = 9
A1 = 509,	 pwm = 159,	 tach = 8
A1 = 531,	 pwm = 165,	 tach = 9
A1 = 531,	 pwm = 165,	 tach = 9
A1 = 531,	 pwm = 165,	 tach = 9
A1 = 539,	 pwm = 168,	 tach = 9
A1 = 560,	 pwm = 175,	 tach = 10
A1 = 560,	 pwm = 175,	 tach = 10
A1 = 561,	 pwm = 175,	 tach = 9
A1 = 565,	 pwm = 176,	 tach = 9
A1 = 590,	 pwm = 184,	 tach = 10
A1 = 589,	 pwm = 184,	 tach = 9
A1 = 589,	 pwm = 184,	 tach = 10
A1 = 590,	 pwm = 184,	 tach = 9
A1 = 622,	 pwm = 194,	 tach = 11
A1 = 623,	 pwm = 194,	 tach = 10
A1 = 622,	 pwm = 194,	 tach = 10
A1 = 622,	 pwm = 194,	 tach = 10
A1 = 625,	 pwm = 195,	 tach = 10
A1 = 643,	 pwm = 200,	 tach = 10
A1 = 644,	 pwm = 201,	 tach = 10
A1 = 644,	 pwm = 201,	 tach = 11
A1 = 647,	 pwm = 202,	 tach = 11
A1 = 662,	 pwm = 206,	 tach = 10
A1 = 675,	 pwm = 210,	 tach = 11
A1 = 674,	 pwm = 210,	 tach = 11
A1 = 673,	 pwm = 210,	 tach = 10
A1 = 676,	 pwm = 211,	 tach = 11
A1 = 691,	 pwm = 215,	 tach = 11
A1 = 701,	 pwm = 219,	 tach = 11
A1 = 701,	 pwm = 219,	 tach = 11
A1 = 702,	 pwm = 219,	 tach = 11
A1 = 704,	 pwm = 220,	 tach = 12
A1 = 731,	 pwm = 228,	 tach = 12
A1 = 731,	 pwm = 228,	 tach = 11
A1 = 731,	 pwm = 228,	 tach = 11
A1 = 731,	 pwm = 228,	 tach = 12
A1 = 731,	 pwm = 228,	 tach = 11
A1 = 742,	 pwm = 231,	 tach = 12
A1 = 759,	 pwm = 237,	 tach = 11
A1 = 759,	 pwm = 237,	 tach = 12
A1 = 759,	 pwm = 237,	 tach = 12
A1 = 762,	 pwm = 238,	 tach = 11
